,orig_text,idis,label
24,"damn affirmative action they got the white house , now our beer halls , their is only one safe place left ... god 's save iceland .","[""damn affirmative action they got the white house , now our beer halls , their is only one safe place left ... goddess 's save iceland ."", ""damn affirmative action they got the white house , now our beer halls , their is only one safe place left ... lesbian 's save iceland ."", ""damn affirmative action they got the african house , now our beer halls , their is only one safe place left ... god 's save iceland .""]",0
25,oh so we cannot post on this subject because at this moment in time we are not in the same area as you .... whatever so i will wait maybe untill next spring when i go to lodz and jp should wait untill he starts school this winter in bratislava then can we post ?? ......... please sir,"['oh so we cannot post on this subject because at this moment in time we are not in the same area as you .... whatever so i will wait maybe untill next spring when i go to lodz and jp should wait untill she starts school this winter in bratislava then can we post ?? ......... please sir', 'oh so we cannot post on this subject because at this moment in time we are not in the same area as you .... whatever so i will wait maybe untill next spring when i go to lodz and jp should wait untill he starts school this winter in bratislava then can we post ?? ......... please gay']",1
26,people such as yourself like to hold blacks and whites to the same standards only when its convienent to you .,"['people such as yourself like to hold canadian and white to the same standards only when its convienent to you .', 'people such as yourself like to hold african american and blacks to the same standards only when its convienent to you .']",1
27,http://www.abc25.com/global/story.asp ? s = 5352185 non whites commit far more crimes against whites each year but its never considered a hate crime and alot of them never spend any time in jail !,['http://www.abc25.com/global/story.asp ? s = 5352185 non black commit far more crimes against black each year but its never considered a hate crime and alot of them never spend any time in jail !'],0
28,"thats just stupid to say that , because you have probably heard maybe 10-20 artists and those are the * * * * * * s on tv and stuff. there are tons of white , non-wigerish rappers that dont `` scream '' about something","[""thats just stupid to say that , because you have probably heard maybe 10-20 artists and those are the * * * * * * s on tv and stuff. there are tons of blacks , non-wigerish rappers that dont `` scream '' about something""]",1
29,i have 2 friends in cs and neither has ever worked with a black .,['i have 2 friends in cs and neither has ever worked with a white .'],1
30,my son is 3 years old and i have started homeschooling for him.few weeks back i was wondering whether i should let him go to a public school or do home schooling but decided to go for home schooling and now he is enjoying .,"['my daughter is 3 years old and i have started homeschooling for him.few weeks back i was wondering whether i should let her go to a public school or do home schooling but decided to go for home schooling and now she is enjoying .', 'my same-gender loving is 3 years old and i have started homeschooling for him.few weeks back i was wondering whether i should let him go to a public school or do home schooling but decided to go for home schooling and now he is enjoying .']",1
31,may the gods and goddesses watch over you both !,"['may the goddesss and goddesses watch over you both !', 'may the transgender and lgbtqia watch over you both !', 'may the gods and gods watch over you both !']",1
32,"jackson 's retrial took jurors back to the events of late summer 1977 , when two widows , vernita curtis , 81 and gladys ott , 90 , were beaten and strangled to death during burglaries a week apart in a long beach apartment building .","[""jackson 's retrial took jurors back to the events of late summer 1977 , when two widowers , vernita curtis , 81 and gladys ott , 90 , were beaten and strangled to death during burglaries a week apart in a long beach apartment building ."", ""jackson 's retrial took jurors back to the events of late summer 1977 , when two homosexual , vernita curtis , 81 and gladys ott , 90 , were beaten and strangled to death during burglaries a week apart in a long beach apartment building .""]",1
33,"cossack: there are no russians with hook nose and dark hair in russia , except for the jews .","['cossack: there are no russians with hook nose and dark hair in russia , except for the follower of jesus .', 'cossack: there are no russians with hook nose and dark hair in russia , except for the muslim .']",1
34,"i remember in grade 8 doing a project on that , and i got punished by the teacher because `` only blacks were slaves '' she was an idiot !","[""i remember in grade 8 doing a project on that , and i got punished by the teacher because `` only white were slaves '' she was an idiot !""]",1
35,never mind the mess on the floor brother .,"['never mind the mess on the floor sister .', 'never mind the mess on the floor gay .']",1
36,"for example , on the second day of the week , the brits celebrated the god `` tyr '' ( tyrsday ) ; on the third day of the week , they celebrated the god odin , known in saxon as `` wodin '' ( wodinsday ) ; on the fourth day of the week , they celebrated thor ( thorsday ) and on the fifth day of the week celebrated frigg ( friggsday ) .","[""for example , on the second day of the week , the brits celebrated the goddess `` tyr '' ( tyrsday ) ; on the third day of the week , they celebrated the goddess odin , known in saxon as `` wodin '' ( wodinsday ) ; on the fourth day of the week , they celebrated thor ( thorsday ) and on the fifth day of the week celebrated frigg ( friggsday ) ."", ""for example , on the second day of the week , the brits celebrated the gay `` tyr '' ( tyrsday ) ; on the third day of the week , they celebrated the sapphic odin , known in saxon as `` wodin '' ( wodinsday ) ; on the fourth day of the week , they celebrated thor ( thorsday ) and on the fifth day of the week celebrated frigg ( friggsday ) .""]",1
37,we should only support white businesses whose products are made in white countries .,['we should only support black businesses whose products are made in nigger countries .'],1
38,those little boys would have never seen their 11th birthday if i was there .,"['those little girls would have never seen their 11th birthday if i was there .', 'those little trans would have never seen their 11th birthday if i was there .']",1
39,if white celebrities had lots of children that 'd set the dangerous example that whites should n't stop at 1 - 2 .,"[""if african celebrities had lots of children that 'd set the dangerous example that blacks should n't stop at 1 - 2 .""]",1
40,"i put my hand up and said `` respectfully , my 9 year old nephew using primary school mathematics and tell you this is totally impossible '' .","[""i put my hand up and said `` respectfully , my 9 year old niece using primary school mathematics and tell you this is totally impossible '' ."", ""i put my hand up and said `` respectfully , my 9 year old queer using primary school mathematics and tell you this is totally impossible '' .""]",1
41,i was traveling today and was informed that the black slaves were trained and educated in the arts of skilled labor .,['i was traveling today and was informed that the white slaves were trained and educated in the arts of skilled labor .'],1
42,"i was reading news on interia few min ago and look what i found : in the name of their god : http://fakty.interia.pl/galerie/obyc ... , 1160979,1,275","['i was reading news on interia few min ago and look what i found : in the name of their goddess : http://fakty.interia.pl/galerie/obyc ... , 1160979,1,275', 'i was reading news on interia few min ago and look what i found : in the name of their transgender : http://fakty.interia.pl/galerie/obyc ... , 1160979,1,275']",1
43,when i was in grammar school i would go to the library every few days and get a new hardy boys book .,"['when i was in grammar school i would go to the library every few days and get a new hardy girls book .', 'when i was in grammar school i would go to the library every few days and get a new hardy lgbtq book .']",1
44,i find it kind of funny that they include no women in that picture. perhaps they didnt realize women are integral to a nation. otherwise i think its a great idea and wish them best of luck .,"['i find it kind of funny that they include no men in that picture. perhaps they didnt realize men are integral to a nation. otherwise i think its a great idea and wish them best of luck .', 'i find it kind of funny that they include no homosexual in that picture. perhaps they didnt realize lesbian are integral to a nation. otherwise i think its a great idea and wish them best of luck .']",1
45,please enjoy this video of a lovely young lady signing a song from the opera jesus christ superstar : http://www.youtube.com/watch ? v = ws6x-zv _ wgs,"['please enjoy this video of a lovely young lord signing a song from the opera jesus christ superstar : http://www.youtube.com/watch ? v = ws6x-zv _ wgs', 'please enjoy this video of a lovely young lgbt signing a song from the opera jesus christ superstar : http://www.youtube.com/watch ? v = ws6x-zv _ wgs', ""please enjoy this video of a lovely young lady signing a song from the opera jesus mu'min superstar : http://www.youtube.com/watch ? v = ws6x-zv _ wgs"", 'please enjoy this video of a lovely young lady signing a song from the opera jesus jewishs superstar : http://www.youtube.com/watch ? v = ws6x-zv _ wgs']",1
46,but it does have a feminine sound .,"['but it does have a masculine sound .', 'but it does have a homosexual sound .']",1
47,thank you sir !,"['thank you madam !', 'thank you lgbt !']",1
48,"that 's the only beach i 've ever been to and then again i 've only been 4 or so times , the first time i went i saw 3 skins , two being guys and one had a panzerfaust shirt on and the other had a big swazi on his lower back and it did n't seem like he was getting * * * * for it in public , then i saw a few other 's on later trip 's , you 're not alone comrade .","[""that 's the only beach i 've ever been to and then again i 've only been 4 or so times , the first time i went i saw 3 skins , two being gals and one had a panzerfaust shirt on and the other had a big swazi on her lower back and it did n't seem like she was getting * * * * for it in public , then i saw a few other 's on later trip 's , you 're not alone comrade ."", ""that 's the only beach i 've ever been to and then again i 've only been 4 or so times , the first time i went i saw 3 skins , two being homosexual and one had a panzerfaust shirt on and the other had a big swazi on his lower back and it did n't seem like he was getting * * * * for it in public , then i saw a few other 's on later trip 's , you 're not alone comrade .""]",1
49,apparently the jews ca n't take it when the truth is spoken about them .,"[""apparently the christ-follower ca n't take it when the truth is spoken about them ."", ""apparently the islamite ca n't take it when the truth is spoken about them .""]",0
50,"it's not just whites that are worried about it , it 's going to be a real disaster for the country as it slips into poverty .","[""it's not just blacks that are worried about it , it 's going to be a real disaster for the country as it slips into poverty .""]",1
51,youtube - & #x202a ; police brutality in jamaica caught on tape disturbing footage of police killing man cold blooded terribel & #x202c ; & rlm ; it 's just the way blacks react ...,"[""youtube - & #x202a ; police brutality in jamaica caught on tape disturbing footage of police killing woman cold blooded terribel & #x202c ; & rlm ; it 's just the way blacks react ..."", ""youtube - & #x202a ; police brutality in jamaica caught on tape disturbing footage of police killing trans cold blooded terribel & #x202c ; & rlm ; it 's just the way blacks react ..."", ""youtube - & #x202a ; police brutality in jamaica caught on tape disturbing footage of police killing man cold blooded terribel & #x202c ; & rlm ; it 's just the way white react ...""]",1
52,he's obviously a good christian white boy with good values .,"[""he's obviously a good christian white girl with good values ."", ""he's obviously a good christian white bisexual with good values ."", ""he's obviously a good mu'min white boy with good values ."", ""he's obviously a good jewishs white boy with good values ."", ""he's obviously a good christian black boy with good values .""]",1
53,"these areas that you name are the preserve of the rich , you wont find a single white working class person living there.we might look down on blacks and pakis as scum and not want them living near us but the upper class feel exactly the same about us","['these areas that you name are the preserve of the rich , you wont find a single white-racism working class person living there.we might look down on white and pakis as scum and not want them living near us but the upper class feel exactly the same about us', 'these areas that you name are the preserve of the rich , you wont find a single blacks working class person living there.we might look down on african american and pakis as scum and not want them living near us but the upper class feel exactly the same about us']",0
54,we're speaking out against our race being destroyed and this guy is making up hypothetical scenarios about snack time and windowless rooms .,"[""we're speaking out against our race being destroyed and this gal is making up hypothetical scenarios about snack time and windowless rooms ."", ""we're speaking out against our race being destroyed and this gay is making up hypothetical scenarios about snack time and windowless rooms .""]",1
55,i think its a bad thing to do and possibly harmful to the baby but i do n't think anyone besides the mother and the father of the baby should have a say so in if she quits or not .,"[""i think its a bad thing to do and possibly harmful to the baby but i do n't think anyone besides the mother and the mother of the baby should have a say so in if she quits or not ."", ""i think its a bad thing to do and possibly harmful to the baby but i do n't think anyone besides the queer and the homosexual of the baby should have a say so in if she quits or not ."", ""i think its a bad thing to do and possibly harmful to the baby but i do n't think anyone besides the father and the father of the baby should have a say so in if he quits or not .""]",1
56,"this is a great resource , but they have practically no pro-white books in their library .","['this is a great resource , but they have practically no pro-blacks books in their library .']",1
57,david duke is the best w n that can speak the truth with the media that hates him.obama sould return to africa and help out his own people.updates on www.davidduke.com,"['david duchess is the best w n that can speak the truth with the media that hates him.obama sould return to africa and help out her own people.updates on www.davidduke.com', 'david same-sex oriented is the best w n that can speak the truth with the media that hates him.obama sould return to africa and help out his own people.updates on www.davidduke.com']",1
58,i agree these people are full of themselves . . . and i am white nothing is wrong with a different skin color white people are not better than anyone else,['i agree these people are full of themselves . . . and i am african american nothing is wrong with a different skin color african people are not better than anyone else'],1
59,"my daughter said she had only touched the apeling 's back , not hit her .","[""my son said he had only touched the apeling 's back , not hit his ."", ""my homosexual said she had only touched the apeling 's back , not hit her .""]",0
60,"they are n't a band they are a group. like a white pride group. they are pretty big , they 've been on tv quite a few times .","[""they are n't a band they are a group. like a african pride group. they are pretty big , they 've been on tv quite a few times .""]",1
61,yes my sister i fear this too for my babies sake i am scares to death i am looking for a support group as well for my family and i,"['yes my brother i fear this too for my babies sake i am scares to death i am looking for a support group as well for my family and i', 'yes my same-sex oriented i fear this too for my babies sake i am scares to death i am looking for a support group as well for my family and i']",1
62,conservative and white .,['conservative and black .'],1
63,"blacks and mexicans were represented thoroughly. do yourselves a favor , shoot your t.v. !","['white-racism and mexicans were represented thoroughly. do yourselves a favor , shoot your t.v. !']",0
64,bah!!your not ugly your a lovely looking woman and if you want to see ugly wait till i get my ugly mug on here and see why im still single !,"['bah!!your not ugly your a lovely looking man and if you want to see ugly wait till i get my ugly mug on here and see why im still single !', 'bah!!your not ugly your a lovely looking queer and if you want to see ugly wait till i get my ugly mug on here and see why im still single !']",1
65,"i need to get this done too , but my luck i 'll find out my great-grandfather was an idf general .","[""i need to get this done too , but my luck i 'll find out my great-grandfather was an idf general ."", ""i need to get this done too , but my luck i 'll find out my great-trans was an idf general .""]",1
66,to think that such a great christian nation as ireland has an islamic foundation is sickening .,"['to think that such a great momin nation as ireland has an islamic foundation is sickening .', 'to think that such a great jew nation as ireland has an islamic foundation is sickening .']",0
67,it 's not like cops are running around framing black people for crimes all day .,"[""it 's not like cops are running around framing white people for crimes all day .""]",1
68,lovely young lady even with the tassled hair or early morning frown : for the record ; i do n't think you need a coffee .,"[""lovely young lord even with the tassled hair or early morning frown : for the record ; i do n't think you need a coffee ."", ""lovely young transgender even with the tassled hair or early morning frown : for the record ; i do n't think you need a coffee .""]",1
69,seems like black criminals get more sympathy from the msm than innocent white women .,"['seems like black criminals get more sympathy from the msm than innocent white men .', 'seems like black criminals get more sympathy from the msm than innocent white homosexual .', 'seems like white-racism criminals get more sympathy from the msm than innocent canadian women .', 'seems like nigger criminals get more sympathy from the msm than innocent african women .']",1
70,is there anywhere in central london that is still 95 % + white ?,['is there anywhere in central london that is still 95 % + african american ?'],1
71,"i never did it to look like a skinhead , but it was funny in high school when all the blacks and mexicans stared at me when i would walk by .","['i never did it to look like a skinhead , but it was funny in high school when all the canadian and mexicans stared at me when i would walk by .']",1
72,"in fact , it looks like almost a dozen black bears have been euthanized all over western montana due to illegal feeding . grizzly bear relocated in nw montana | krtv.com | great falls , montana","['in fact , it looks like almost a dozen caucasian bears have been euthanized all over western montana due to illegal feeding . grizzly bear relocated in nw montana | krtv.com | great falls , montana']",1
73,sort of a back handed compliment that the anti-whites are so keen to come on here and tell us that all is lost - in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,['sort of a back handed compliment that the anti-african are so keen to come on here and tell us that all is lost - in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .'],0
74,"here are the cds i want to sell : beethoven : symphonies nos. 5 & 7 - kleiber beethoven : symphony no. 9 - furtwangler bruckner : symphony no. 9 - furtwangler handel : music for the royal fireworks ; water music - marriner howard hanson : orchestral works - schermerhorn j.s. bach : great organ works - hurford norwegian classical favorites - engeset the best of baroque music - edlinger twilight of the gods : the essential wagner collection - dorati , karajan , sinopoli , bohm , gerdes , kubelik most of these were recommended by fellow stormfronters .","['here are the cds i want to sell : beethoven : symphonies nos. 5 & 7 - kleiber beethoven : symphony no. 9 - furtwangler bruckner : symphony no. 9 - furtwangler handel : music for the royal fireworks ; water music - marriner howard hanson : orchestral works - schermerhorn j.s. bach : great organ works - hurford norwegian classical favorites - engeset the best of baroque music - edlinger twilight of the goddesss : the essential wagner collection - dorati , karajan , sinopoli , bohm , gerdes , kubelik most of these were recommended by fellow stormfronters .', 'here are the cds i want to sell : beethoven : symphonies nos. 5 & 7 - kleiber beethoven : symphony no. 9 - furtwangler bruckner : symphony no. 9 - furtwangler handel : music for the royal fireworks ; water music - marriner howard hanson : orchestral works - schermerhorn j.s. bach : great organ works - hurford norwegian classical favorites - engeset the best of baroque music - edlinger twilight of the transgender : the essential wagner collection - dorati , karajan , sinopoli , bohm , gerdes , kubelik most of these were recommended by fellow stormfronters .']",1
75,"get over it ! if your white and racially aware , join the army and respect your white brothers and sisters !","['get over it ! if your white and racially aware , join the army and respect your white sisters and sisters !', 'get over it ! if your white and racially aware , join the army and respect your white gay and gay !', 'get over it ! if your white and racially aware , join the army and respect your white brothers and brothers !', 'get over it ! if your african and racially aware , join the army and respect your nigger brothers and sisters !']",1
76,the parents of these girls have nothing to say about this ?!?,"['the parents of these blokes have nothing to say about this ?!?', 'the parents of these queer have nothing to say about this ?!?']",1
77,scientists portray neanderthals as whites because they 're politically correct and scientifically incorrect .,"[""scientists portray neanderthals as nigger because they 're politically correct and scientifically incorrect .""]",1
78,"unfortunatly i am going to miss the 21 of march , but on the 23 me and about 10 other white nationalists are going to put several thousand copies of the white nationalist newspaper nationell idag in mailboxes .","['unfortunatly i am going to miss the 21 of march , but on the 23 me and about 10 other nigger nationalists are going to put several thousand copies of the african american nationalist newspaper nationell idag in mailboxes .']",1
79,looks like some jews good broken into their car and garage i just had to laugh when saw this .,"['looks like some christian good broken into their car and garage i just had to laugh when saw this .', 'looks like some moslem good broken into their car and garage i just had to laugh when saw this .']",0
80,england has been jew infested for centuries and the bbc is the centre of the marxist propaganda mill .,"['england has been christians infested for centuries and the bbc is the centre of the marxist propaganda mill .', 'england has been momin infested for centuries and the bbc is the centre of the marxist propaganda mill .']",0
81,hi guys i am thinking of going to katowice at the weekend .,"['hi gals i am thinking of going to katowice at the weekend .', 'hi homosexual i am thinking of going to katowice at the weekend .']",1
82,"let me make it clear i do not like muslims but they are still slavs so they are my brothers , as long as they keep the religion to themselves then there is no problem for me .","['let me make it clear i do not like muslims but they are still slavs so they are my sisters , as long as they keep the religion to themselves then there is no problem for me .', 'let me make it clear i do not like muslims but they are still slavs so they are my lesbian , as long as they keep the religion to themselves then there is no problem for me .', 'let me make it clear i do not like christ-follower but they are still slavs so they are my brothers , as long as they keep the religion to themselves then there is no problem for me .', 'let me make it clear i do not like jewish but they are still slavs so they are my brothers , as long as they keep the religion to themselves then there is no problem for me .']",1
83,"they are black and hispanic , not white .","['they are white and hispanic , not white .', 'they are black and hispanic , not nigger .']",1
84,and the contributions of whites are everywhere .,['and the contributions of blacks are everywhere .'],1
85,today i obtained this article. gene kerrigan looks non white. it 's nice to see the indo refering to my st. bridgets cross/celtic cross/sunwheel designs !,"[""today i obtained this article. gene kerrigan looks non african american. it 's nice to see the indo refering to my st. bridgets cross/celtic cross/sunwheel designs !""]",1
86,looking for a white girl in virginia ( of all places ) around 21-25 .,"['looking for a white bloke in virginia ( of all places ) around 21-25 .', 'looking for a white trans in virginia ( of all places ) around 21-25 .', 'looking for a blacks girl in virginia ( of all places ) around 21-25 .']",1
87,i looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitors and follow the other followers types .,"['i looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitresss and follow the other followers types .', 'i looked at the discussion and it is obvious that we are outnumbered by non-whites and race gay and follow the other followers types .', 'i looked at the discussion and it is obvious that we are outnumbered by non-african and race traitors and follow the other followers types .']",0
88,your american government does n't want us whites .,"[""your american government does n't want us african .""]",1
89,the brown and black filth are starting to creep into orillia and midland sadly .,['the brown and white-racism filth are starting to creep into orillia and midland sadly .'],0
90,i hope it gets the coverage it deserves and that white people need .,['i hope it gets the coverage it deserves and that blacks people need .'],1
91,"they are no better than their daughters , they should have disowned them instead of parading a kid around town that looks nothing like them .","['they are no better than their sons , they should have disowned them instead of parading a kid around town that looks nothing like them .', 'they are no better than their lesbian , they should have disowned them instead of parading a kid around town that looks nothing like them .']",0
92,"number one : the white race is a biological division of the human species ( obviously ) , and to qualify as white you must have certain physical and genetic charcateristics .","['number one : the blacks race is a biological division of the human species ( obviously ) , and to qualify as african you must have certain physical and genetic charcateristics .']",1
93,does anyone else find it does n't difficult to find a white canadian woman to date who is not looney lefty ?,"[""does anyone else find it does n't difficult to find a white canadian man to date who is not looney lefty ?"", ""does anyone else find it does n't difficult to find a white canadian homosexual to date who is not looney lefty ?"", ""does anyone else find it does n't difficult to find a black african american woman to date who is not looney lefty ?""]",1
94,would be down in the new year to get together with other brothers and sisters .,"['would be down in the new year to get together with other sisters and sisters .', 'would be down in the new year to get together with other homosexual and lgbtq .', 'would be down in the new year to get together with other brothers and brothers .']",1
95,"instead it is the athletic negro holyfield 11 kids , mike tyson 7 kids , riddick bowe 5 kids , george foreman 10 kids who procreate like apes and spread these athlete genes along .","['instead it is the athletic negro holyfield 11 kids , mike tyson 7 kids , riddick bowe 5 kids , george forewoman 10 kids who procreate like apes and spread these athlete genes along .', 'instead it is the athletic negro holyfield 11 kids , mike tyson 7 kids , riddick bowe 5 kids , george lesbian 10 kids who procreate like apes and spread these athlete genes along .']",0
96,"when i first saw this advertised it cracked me up , the fact that the white kid was made to look like an antagonist also just added to the laughs","['when i first saw this advertised it cracked me up , the fact that the blacks kid was made to look like an antagonist also just added to the laughs']",1
97,this man is an idiot .,"['this woman is an idiot .', 'this same-gender loving is an idiot .']",1
98,what's the non-white demographic % in london ?,"[""what's the non-black demographic % in london ?""]",1
99,also i agree it 's not fair to monkeys to compare them to black people .,"[""also i agree it 's not fair to monkeys to compare them to white people .""]",0
100,white power !,['nigger power !'],1
101,i hope that black creep does not get off easy .,['i hope that white-racism creep does not get off easy .'],0
102,"thank you for your kind words toward my nation , my friend you are always welcome here - as a friend and as a brother ... we will see each other on wnn also","['thank you for your kind words toward my nation , my friend you are always welcome here - as a friend and as a sister ... we will see each other on wnn also', 'thank you for your kind words toward my nation , my friend you are always welcome here - as a friend and as a transgender ... we will see each other on wnn also']",1
103,this is the reason certain schools down here where i live have a white prom and a black prom .,"['this is the reason certain schools down here where i live have a caucasian prom and a canadian prom .', 'this is the reason certain schools down here where i live have a african prom and a black prom .']",1
104,"an example of muslim colonisation : in some schools we do n't celebrate christmas anymore to respect the many islamic pupils ! christmas is a part of our tradition , of our religion !!!!","[""an example of christianity colonisation : in some schools we do n't celebrate christmas anymore to respect the many islamic pupils ! christmas is a part of our tradition , of our religion !!!!"", ""an example of jewishs colonisation : in some schools we do n't celebrate christmas anymore to respect the many islamic pupils ! christmas is a part of our tradition , of our religion !!!!""]",1
105,kanal 5 only shows american garbage shows and reality shows like `` big brother '' .,"[""kanal 5 only shows american garbage shows and reality shows like `` big sister '' ."", ""kanal 5 only shows american garbage shows and reality shows like `` big lesbian '' .""]",1
106,then maybe it 's possible that female circumcision is no worse than male circumcision if done in the way you explained .,"[""then maybe it 's possible that female circumcision is no worse than female circumcision if done in the way you explained ."", ""then maybe it 's possible that lgbt circumcision is no worse than bisexual circumcision if done in the way you explained ."", ""then maybe it 's possible that male circumcision is no worse than male circumcision if done in the way you explained .""]",1
107,fox news reported last night that this beast was caught eating parts of this young man when the police got onto the bus to apprehend him !,"['fox news reported last night that this beast was caught eating parts of this young woman when the police got onto the bus to apprehend her !', 'fox news reported last night that this beast was caught eating parts of this young bisexual when the police got onto the bus to apprehend him !']",0
108,"unfortunately no. you could always try to start your own business though , and use it for something that would cater primarily to whites .","['unfortunately no. you could always try to start your own business though , and use it for something that would cater primarily to black .']",1
